#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
  18200      1.76e+00    1.85e+00      3.11e-02    3.47e-02      5.77e-02    6.06e-02    9.3e-04
  18300      1.72e+00    1.86e+00      4.30e-02    6.78e-02      5.63e-02    6.07e-02    9.3e-04
  18400      2.07e+00    2.15e+00      5.60e-02    1.09e-02      6.77e-02    7.07e-02    9.3e-04
  18500      1.57e+00    1.64e+00      5.60e-02    5.59e-02      5.11e-02    5.37e-02    9.3e-04
  18600      1.66e+00    1.55e+00      3.57e-02    1.51e-02      5.43e-02    5.10e-02    9.3e-04
  18700      1.43e+00    1.63e+00      4.36e-02    2.90e-02      4.67e-02    5.35e-02    9.3e-04
  18800      2.54e+00    2.28e+00      4.34e-02    4.55e-02      8.32e-02    7.47e-02    9.3e-04
  18900      1.47e+00    1.48e+00      6.90e-03    7.54e-03      4.83e-02    4.85e-02    9.3e-04
  19000      1.75e+00    1.70e+00      3.90e-02    5.50e-02      5.74e-02    5.55e-02    9.3e-04
  19100      1.75e+00    4.12e+00      7.28e-02    2.98e-02      5.70e-02    1.35e-01    9.3e-04
  19200      5.78e+00    7.42e+00      2.08e-01    2.60e-01      1.88e-01    2.42e-01    9.3e-04
  19300      2.19e+00    2.07e+00      1.55e-02    1.04e-02      7.20e-02    6.80e-02    9.3e-04
  19400      3.55e+00    3.91e+00      1.08e-01    1.07e-01      1.16e-01    1.28e-01    9.3e-04
  19500      1.72e+00    1.79e+00      1.20e-02    1.20e-02      5.63e-02    5.87e-02    9.3e-04
  19600      1.67e+00    2.61e+00      3.24e-02    3.44e-02      5.46e-02    8.55e-02    9.3e-04
  19700      1.97e+00    1.99e+00      6.20e-02    8.47e-02      6.41e-02    6.46e-02    9.3e-04
  19800      9.36e+00    8.84e+00      3.68e-02    3.14e-02      3.07e-01    2.90e-01    9.3e-04
  19900      5.10e+00    3.95e+00      4.57e-02    1.32e-01      1.67e-01    1.29e-01    9.3e-04
  20000      1.55e+00    2.43e+00      3.75e-02    7.64e-02      5.14e-02    8.03e-02    9.1e-04
  20100      2.07e+00    1.96e+00      3.35e-02    3.21e-02      6.85e-02    6.49e-02    9.1e-04
  20200      2.15e+00    2.34e+00      9.88e-02    9.09e-02      7.07e-02    7.72e-02    9.1e-04
  20300      1.74e+00    1.83e+00      1.06e-01    1.04e-01      5.64e-02    5.95e-02    9.1e-04
  20400      1.73e+00    1.63e+00      7.74e-03    6.50e-03      5.75e-02    5.41e-02    9.1e-04
  20500      3.36e+00    3.41e+00      2.22e-02    3.73e-02      1.12e-01    1.13e-01    9.1e-04
  20600      2.04e+00    1.90e+00      6.18e-02    3.80e-02      6.72e-02    6.29e-02    9.1e-04
  20700      1.56e+00    1.68e+00      4.83e-02    4.82e-02      5.16e-02    5.57e-02    9.1e-04
  20800      2.79e+00    2.60e+00      5.11e-02    5.12e-02      9.24e-02    8.63e-02    9.1e-04
  20900      1.53e+00    1.92e+00      5.37e-02    6.54e-02      5.05e-02    6.32e-02    9.1e-04
  21000      2.00e+00    3.94e+00      1.82e-01    1.35e-01      6.29e-02    1.30e-01    9.1e-04
  21100      1.43e+00    1.45e+00      6.17e-02    4.71e-02      4.69e-02    4.80e-02    9.1e-04
  21200      3.81e+00    4.17e+00      5.92e-01    6.28e-01      1.07e-01    1.18e-01    9.1e-04
  21300      3.84e+00    3.93e+00      5.03e-02    9.10e-02      1.28e-01    1.30e-01    9.1e-04
  21400      2.26e+00    2.16e+00      3.41e-02    3.76e-02      7.50e-02    7.17e-02    9.1e-04
  21500      4.32e+00    1.92e+00      5.45e-02    2.98e-02      1.43e-01    6.38e-02    9.1e-04
  21600      1.61e+00    1.68e+00      3.02e-02    3.20e-02      5.34e-02    5.56e-02    9.1e-04
  21700      1.83e+00    1.50e+00      5.26e-02    5.56e-02      6.04e-02    4.94e-02    9.1e-04
  21800      2.48e+00    2.45e+00      7.49e-02    7.74e-02      8.20e-02    8.08e-02    9.1e-04
  21900      2.18e+00    8.66e+00      1.49e-01    1.96e-01      7.01e-02    2.87e-01    9.1e-04
  22000      3.57e+00    2.80e+00      1.13e-01    9.18e-02      1.18e-01    9.25e-02    9.1e-04
  22100      2.75e+00    1.86e+00      1.06e-01    7.56e-02      9.06e-02    6.11e-02    9.1e-04
  22200      1.29e+01    1.35e+01      2.28e+00    2.28e+00      3.40e-01    3.63e-01    9.1e-04
  22300      2.91e+00    6.31e+00      7.60e-02    1.05e-01      9.64e-02    2.09e-01    9.1e-04
  22400      2.96e+00    2.97e+00      6.86e-02    6.83e-02      9.80e-02    9.84e-02    9.1e-04
  22500      1.70e+00    1.91e+00      9.85e-03    8.99e-03      5.63e-02    6.36e-02    9.1e-04
  22600      6.20e+00    6.12e+00      1.03e+00    1.05e+00      1.68e-01    1.64e-01    9.1e-04
  22700      4.49e+00    4.56e+00      4.90e-01    4.99e-01      1.38e-01    1.40e-01    9.1e-04
  22800      3.69e+00    3.97e+00      2.52e-02    2.63e-02      1.22e-01    1.32e-01    9.1e-04
  22900      2.07e+00    2.31e+00      5.62e-02    4.28e-02      6.84e-02    7.65e-02    9.1e-04
  23000      2.40e+00    2.36e+00      3.22e-02    1.98e-02      7.95e-02    7.85e-02    9.1e-04
  23100      1.60e+00    1.92e+00      3.19e-02    3.57e-02      5.32e-02    6.37e-02    9.1e-04
  23200      3.36e+00    3.29e+00      2.54e-01    2.37e-01      1.08e-01    1.06e-01    9.1e-04
  23300      2.77e+00    1.93e+00      1.42e-02    2.33e-02      9.19e-02    6.41e-02    9.1e-04
  23400      7.41e+00    7.92e+00      5.23e-01    5.43e-01      2.38e-01    2.56e-01    9.1e-04
  23500      1.90e+00    2.00e+00      5.84e-03    9.17e-03      6.31e-02    6.64e-02    9.1e-04
  23600      3.58e+00    2.34e+00      1.26e-01    1.27e-01      1.18e-01    7.64e-02    9.1e-04
  23700      1.66e+00    1.92e+00      2.10e-02    3.03e-02      5.50e-02    6.38e-02    9.1e-04
  23800      2.63e+00    2.13e+00      5.90e-03    7.09e-03      8.73e-02    7.08e-02    9.1e-04
  23900      1.83e+00    1.88e+00      2.54e-02    6.04e-03      6.07e-02    6.25e-02    9.1e-04
  24000      2.26e+00    2.61e+00      1.35e-01    1.42e-01      7.36e-02    8.52e-02    9.1e-04
  24100      1.58e+00    1.73e+00      2.69e-02    2.47e-02      5.24e-02    5.73e-02    9.1e-04
  24200      1.66e+00    1.59e+00      1.92e-02    2.13e-02      5.51e-02    5.28e-02    9.1e-04
  24300      2.53e+00    2.64e+00      5.86e-02    2.00e-02      8.36e-02    8.77e-02    9.1e-04
  24400      1.66e+00    1.67e+00      2.56e-03    2.65e-03      5.51e-02    5.56e-02    9.1e-04
  24500      1.93e+00    2.03e+00      3.13e-02    1.78e-02      6.40e-02    6.73e-02    9.1e-04
  24600      4.40e+00    1.66e+00      2.86e-02    9.00e-03      1.46e-01    5.51e-02    9.1e-04
  24700      1.67e+00    1.77e+00      3.31e-02    4.52e-02      5.53e-02    5.85e-02    9.1e-04
  24800      2.14e+00    1.54e+00      3.34e-02    6.27e-02      7.11e-02    5.07e-02    9.1e-04
  24900      1.75e+00    1.51e+00      1.15e-01    7.52e-02      5.65e-02    4.94e-02    9.1e-04
  25000      1.48e+00    2.10e+00      1.68e-02    4.94e-02      4.96e-02    7.03e-02    8.8e-04
  25100      1.59e+00    2.19e+00      5.76e-02    1.59e-02      5.31e-02    7.36e-02    8.8e-04
  25200      1.64e+00    1.95e+00      2.10e-03    6.21e-02      5.53e-02    6.51e-02    8.8e-04
  25300      1.25e+00    1.45e+00      1.90e-02    1.95e-02      4.21e-02    4.86e-02    8.8e-04
  25400      1.36e+00    1.53e+00      2.11e-02    1.35e-02      4.55e-02    5.13e-02    8.8e-04
  25500      1.60e+00    1.53e+00      4.60e-02    5.69e-02      5.36e-02    5.09e-02    8.8e-04
  25600      1.51e+00    1.38e+00      1.87e-02    5.74e-03      5.06e-02    4.63e-02    8.8e-04
  25700      1.88e+00    1.82e+00      4.88e-02    4.69e-02      6.30e-02    6.10e-02    8.8e-04
  25800      2.29e+00    2.02e+00      5.16e-02    7.63e-02      7.68e-02    6.71e-02    8.8e-04
  25900      1.47e+00    6.13e+00      2.40e-02    8.87e-02      4.93e-02    2.06e-01    8.8e-04
